"id","online_service_challenges"
1,"Absence of ambience of a gym/studio and fellow members in online mode"
1,"I don't have access to right kind of space to practice regularly"
2,"I don’t think online training is effective"
3,"Absence of ambience of a gym/studio and fellow members in online mode"
4,"I don't want to invest in buying any accessories at home"
5,"Absence of ambience of a gym/studio and fellow members in online mode"
6,"I don’t think online training is effective"
6,"Absence of ambience of a gym/studio and fellow members in online mode"
6,"I don't want to invest in buying any accessories at home"
6,"I don't have access to right kind of space to practice regularly"
7,"Absence of ambience of a gym/studio and fellow members in online mode"
7,"I don't have access to right kind of space to practice regularly"
7,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
8,"I don't want to invest in buying any accessories at home"
9,"I don’t think online training is effective"
9,"Absence of ambience of a gym/studio and fellow members in online mode"
9,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
10,"Absence of ambience of a gym/studio and fellow members in online mode"
10,"I don't want to invest in buying any accessories at home"
10,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
11,"I don’t think online training is effective"
12,"I don’t think online training is effective"
12,"Absence of ambience of a gym/studio and fellow members in online mode"
12,"I don't want to invest in buying any accessories at home"
12,"I don't have access to right kind of space to practice regularly"
13,"I don't want to invest in buying any accessories at home"
14,"Absence of ambience of a gym/studio and fellow members in online mode"
15,"I don’t think online training is effective"
15,"I don't want to invest in buying any accessories at home"
15,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
16,"I don't want to invest in buying any accessories at home"
16,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
17,"I don’t think online training is effective"
17,"Absence of ambience of a gym/studio and fellow members in online mode"
17,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
18,"Absence of ambience of a gym/studio and fellow members in online mode"
18,"I don't want to invest in buying any accessories at home"
18,"I don't have access to right kind of space to practice regularly"
19,"2.0"
20,"I don't want to invest in buying any accessories at home"
21,"I don’t think online training is effective"
21,"I don't want to invest in buying any accessories at home"
22,"Absence of ambience of a gym/studio and fellow members in online mode"
23,"Absence of ambience of a gym/studio and fellow members in online mode"
24,"I don’t think online training is effective"
24,"Absence of ambience of a gym/studio and fellow members in online mode"
24,"I don't want to invest in buying any accessories at home"
24,"I don't have access to right kind of space to practice regularly"
24,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
25,"Absence of ambience of a gym/studio and fellow members in online mode"
26,"I don't want to invest in buying any accessories at home"
27,"I don’t think online training is effective"
27,"Absence of ambience of a gym/studio and fellow members in online mode"
28,"I don’t think online training is effective"
29,"I don’t think online training is effective"
29,"I don't want to invest in buying any accessories at home"
29,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
30,"I don’t think online training is effective"
31,"I don’t think online training is effective"
31,"I don't have access to right kind of space to practice regularly"
31,"Instant feedback is very important to me which I think online delivery wellness/fitness services lack"
32,"Absence of ambience of a gym/studio and fellow members in online mode"
33,"Online Fitness Apps are very good if well structured. Like I use Home Workout App and it's good."
34,"Absence of ambience of a gym/studio and fellow members in online mode"
34,"I don't want to invest in buying any accessories at home"
35,"I don't want to invest in buying any accessories at home"
35,"I don't have access to right kind of space to practice regularly"
36,"Absence of ambience of a gym/studio and fellow members in online mode"
36,"I don't have access to right kind of space to practice regularly"
37,"I don't want to invest in buying any accessories at home"
38,"I don’t think online training is effective"
39,"I don’t think online training is effective"
40,"I don’t think online training is effective"
41,"Absence of ambience of a gym/studio and fellow members in online mode"
42,"I don’t think online training is effective"
44,"I don't want to invest in buying any accessories at home"
45,"I don’t think online training is effective"
46,"I don’t think online training is effective"
46,"Absence of ambience of a gym/studio and fellow members in online mode"
47,"I don’t think online training is effective"
47,"Absence of ambience of a gym/studio and fellow members in online mode"
48,"Absence of ambience of a gym/studio and fellow members in online mode"
48,"I don't want to invest in buying any accessories at home"
49,"Absence of ambience of a gym/studio and fellow members in online mode"
49,"I don't want to invest in buying any accessories at home"
49,"I don't have access to right kind of space to practice regularly"
50,"Absence of ambience of a gym/studio and fellow members in online mode"
50,"I don't want to invest in buying any accessories at home"
51,"Absence of ambience of a gym/studio and fellow members in online mode"
51,"I don't want to invest in buying any accessories at home"
53,"I don't have access to right kind of space to practice regularly"
54,"I don’t think online training is effective"
